temperature,city,pression,date
32.2,Paris,1018,2026-07-07 09:35
25.4,London,1015,2026-07-07 09:35
24.45,Orleans,1016,2026-07-07 09:35
32.2,Paris,1018,2026-07-07 09:34
25.4,London,1015,2026-07-07 09:34
24.46,Orleans,1016,2026-07-07 09:34
32.2,Paris,1018,2026-07-07 09:33
25.4,London,1015,2026-07-07 09:33
24.46,Orleans,1016,2026-07-07 09:33
32.2,Paris,1018,2026-07-07 09:32
25.4,London,1015,2026-07-07 09:32
24.46,Orleans,1016,2026-07-07 09:32
32.2,Paris,1018,2026-07-07 09:31
25.4,London,1015,2026-07-07 09:31
24.46,Orleans,1016,2026-07-07 09:31
32.2,Paris,1018,2026-07-07 09:30
25.4,London,1015,2026-07-07 09:30
24.37,Orleans,1016,2026-07-07 09:30
32.2,Paris,1018,2026-07-07 09:29
25.46,London,1015,2026-07-07 09:29
24.46,Orleans,1016,2026-07-07 09:29
32.2,Paris,1018,2026-07-07 09:28
25.15,London,1015,2026-07-07 09:28
24.4,Orleans,1016,2026-07-07 09:28
32.2,Paris,1018,2026-07-07 09:27
25.15,London,1015,2026-07-07 09:27
24.46,Orleans,1016,2026-07-07 09:27
32.2,Paris,1018,2026-07-07 09:26
25.15,London,1015,2026-07-07 09:26
24.4,Orleans,1016,2026-07-07 09:26
31.91,Paris,1018,2026-07-07 09:25
25.15,London,1015,2026-07-07 09:25
24.46,Orleans,1016,2026-07-07 09:25
31.91,Paris,1018,2026-07-07 09:24
25.15,London,1015,2026-07-07 09:24
24.4,Orleans,1016,2026-07-07 09:24
31.91,Paris,1018,2026-07-07 09:21
25.15,London,1015,2026-07-07 09:21
24.37,Orleans,1016,2026-07-07 09:21
31.54,Paris,1018,2026-07-07 09:11
24.98,London,1015,2026-07-07 09:11
24.45,Orleans,1016,2026-07-07 09:11
31.72,Paris,1018,2026-07-07 09:10
24.88,London,1015,2026-07-07 09:10
24.45,Orleans,1016,2026-07-07 09:10
31.54,Paris,1018,2026-07-07 09:09
24.88,London,1015,2026-07-07 09:09
24.22,Orleans,1016,2026-07-07 09:09
31.54,Paris,1018,2026-07-07 09:08
24.51,London,1015,2026-07-07 09:08
24.45,Orleans,1016,2026-07-07 09:08
33.71,Paris,1017,2026-07-06 16:55
31.76,London,1016,2026-07-06 16:55
30.75,Orleans,1016,2026-07-06 16:55
33.71,Paris,1017,2026-07-06 16:54
31.73,London,1016,2026-07-06 16:54
30.52,Orleans,1016,2026-07-06 16:54
33.71,Paris,1017,2026-07-06 16:53
31.73,London,1016,2026-07-06 16:53
30.75,Orleans,1016,2026-07-06 16:53
34.09,Paris,1017,2026-07-06 16:52
31.68,London,1016,2026-07-06 16:52
30.75,Orleans,1016,2026-07-06 16:52
34.09,Paris,1017,2026-07-06 16:51
31.68,London,1016,2026-07-06 16:51
30.75,Orleans,1016,2026-07-06 16:51
34.09,Paris,1017,2026-07-06 16:50
31.68,London,1016,2026-07-06 16:50
30.44,Orleans,1016,2026-07-06 16:50
34.09,Paris,1017,2026-07-06 16:49
31.68,London,1016,2026-07-06 16:49
30.72,Orleans,1016,2026-07-06 16:49
33.71,Paris,1017,2026-07-06 16:48
31.75,London,1016,2026-07-06 16:48
30.72,Orleans,1016,2026-07-06 16:48
33.71,Paris,1017,2026-07-06 16:47
31.75,London,1016,2026-07-06 16:47
30.45,Orleans,1016,2026-07-06 16:47
34.09,Paris,1017,2026-07-06 16:46
31.75,London,1016,2026-07-06 16:46
30.52,Orleans,1016,2026-07-06 16:46
33.33,Paris,1017,2026-07-06 16:45
31.75,London,1016,2026-07-06 16:45
30.52,Orleans,1016,2026-07-06 16:45
33.33,Paris,1017,2026-07-06 16:44
31.75,London,1016,2026-07-06 16:44
30.52,Orleans,1016,2026-07-06 16:44
34.09,Paris,1017,2026-07-06 16:43
31.75,London,1016,2026-07-06 16:43
30.44,Orleans,1016,2026-07-06 16:43
34.09,Paris,1017,2026-07-06 16:42
31.72,London,1016,2026-07-06 16:42
30.45,Orleans,1016,2026-07-06 16:42
33.33,Paris,1017,2026-07-06 16:41
31.75,London,1016,2026-07-06 16:41
30.44,Orleans,1016,2026-07-06 16:41
33.33,Paris,1017,2026-07-06 16:40
31.75,London,1016,2026-07-06 16:40
30.44,Orleans,1016,2026-07-06 16:40
33.33,Paris,1017,2026-07-06 16:39
31.75,London,1016,2026-07-06 16:39
30.44,Orleans,1016,2026-07-06 16:39
33.33,Paris,1017,2026-07-06 16:38
31.72,London,1016,2026-07-06 16:38
30.45,Orleans,1016,2026-07-06 16:38
33.38,Paris,1017,2026-07-06 16:37
31.85,London,1016,2026-07-06 16:37
30.07,Orleans,1016,2026-07-06 16:37
33.33,Paris,1017,2026-07-06 16:36
31.85,London,1016,2026-07-06 16:36
29.95,Orleans,1016,2026-07-06 16:36
33.38,Paris,1017,2026-07-06 16:35
31.72,London,1016,2026-07-06 16:35
29.95,Orleans,1016,2026-07-06 16:35
33.33,Paris,1017,2026-07-06 16:34
31.79,London,1016,2026-07-06 16:34
29.95,Orleans,1016,2026-07-06 16:34
34.55,Paris,1017,2026-07-06 16:33
31.85,London,1016,2026-07-06 16:33
29.95,Orleans,1016,2026-07-06 16:33
33.38,Paris,1017,2026-07-06 16:32
31.85,London,1016,2026-07-06 16:32
30.44,Orleans,1016,2026-07-06 16:32
33.33,Paris,1017,2026-07-06 16:31
31.85,London,1016,2026-07-06 16:31
30.07,Orleans,1016,2026-07-06 16:31
33.33,Paris,1017,2026-07-06 16:30
31.85,London,1016,2026-07-06 16:30
29.95,Orleans,1016,2026-07-06 16:30
33.33,Paris,1017,2026-07-06 16:29
31.85,London,1016,2026-07-06 16:29
29.9,Orleans,1016,2026-07-06 16:29
34.55,Paris,1017,2026-07-06 16:28
31.85,London,1016,2026-07-06 16:28
29.95,Orleans,1016,2026-07-06 16:28
34.55,Paris,1017,2026-07-06 16:27
31.85,London,1016,2026-07-06 16:27
29.9,Orleans,1016,2026-07-06 16:27
34.55,Paris,1017,2026-07-06 16:26
31.86,London,1016,2026-07-06 16:26
29.9,Orleans,1016,2026-07-06 16:26
33.33,Paris,1017,2026-07-06 16:25
31.85,London,1016,2026-07-06 16:25
29.9,Orleans,1016,2026-07-06 16:25
34.55,Paris,1017,2026-07-06 16:24
31.89,London,1016,2026-07-06 16:24
29.9,Orleans,1016,2026-07-06 16:24
33.71,Paris,1017,2026-07-06 16:22
31.79,London,1016,2026-07-06 16:22
29.9,Orleans,1016,2026-07-06 16:22
33.71,Paris,1017,2026-07-06 16:20
31.79,London,1016,2026-07-06 16:20
29.9,Orleans,1016,2026-07-06 16:20
